address,annotations,bio
البحيره شقه ١٨ شارع طلعت حرب ميت عقبه بجوار الكليه عماره ١٠,"{""CITY"": ""البحيره"", ""AREA"": ""ميت عقبه"", ""STREET"": ""طلعت حرب"", ""LANDMARK"": ""الكليه"", ""BUILDING"": ""١٠"", ""APARTMENT"": ""١٨""}","[[""البحيره"", ""B-CITY""], [""شقه"", ""O""], [""١٨"", ""B-APARTMENT""], [""شارع"", ""O""], [""طلعت"", ""B-STREET""], [""حرب"", ""I-STREET""], [""ميت"", ""B-AREA""], [""عقبه"", ""I-AREA""], [""بجوار"", ""O""], [""الكليه"", ""B-LANDMARK""], [""عماره"", ""O""], [""١٠"", ""B-BUILDING""]]"
منطقه الشروق حلوان شارع ابراهيم اللقاني شقه 20,"{""CITY"": ""حلوان"", ""AREA"": ""الشروق"", ""STREET"": ""ابراهيم اللقاني"", ""APARTMENT"": ""20""}","[[""منطقه"", ""O""], [""الشروق"", ""B-AREA""], [""حلوان"", ""B-CITY""], [""شارع"", ""O""], [""ابراهيم"", ""B-STREET""], [""اللقاني"", ""I-STREET""], [""شقه"", ""O""], [""20"", ""B-APARTMENT""]]"
بيت ٥ في دمياط شارع محمد حسين هيكل,"{""CITY"": ""دمياط"", ""STREET"": ""محمد حسين هيكل"", ""BUILDING"": ""٥""}","[[""بيت"", ""O""], [""٥"", ""B-BUILDING""], [""في"", ""O""], [""دمياط"", ""B-CITY""], [""شارع"", ""O""], [""محمد"", ""B-STREET""], [""حسين"", ""I-STREET""], [""هيكل"", ""I-STREET""]]"
شارع الامل الطابق 17 ورا مدرسه الامل شقه رقم 2 حي سيدي جابر,"{""AREA"": ""سيدي جابر"", ""STREET"": ""الامل"", ""LANDMARK"": ""مدرسه الامل"", ""FLOOR"": ""17"", ""APARTMENT"": ""2""}","[[""شارع"", ""O""], [""الامل"", ""B-STREET""], [""الطابق"", ""O""], [""17"", ""B-FLOOR""], [""ورا"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""شقه"", ""O""], [""رقم"", ""O""], [""2"", ""B-APARTMENT""], [""حي"", ""O""], [""سيدي"", ""B-AREA""], [""جابر"", ""I-AREA""]]"
شارع محمد حسين هيكل شقه ١ بيت ١٠,"{""STREET"": ""محمد حسين هيكل"", ""BUILDING"": ""١٠"", ""APARTMENT"": ""١""}","[[""شارع"", ""O""], [""محمد"", ""B-STREET""], [""حسين"", ""I-STREET""], [""هيكل"", ""I-STREET""], [""شقه"", ""O""], [""١"", ""B-APARTMENT""], [""بيت"", ""O""], [""١٠"", ""B-BUILDING""]]"
دور 10 برج الاهرام شبرا الخيمه شقة رقم 14 تحت بنك النور شارع ليبيا,"{""CITY"": ""شبرا الخيمه"", ""STREET"": ""ليبيا"", ""LANDMARK"": ""بنك النور"", ""BUILDING"": ""الاهرام"", ""FLOOR"": ""10"", ""APARTMENT"": ""14""}","[[""دور"", ""O""], [""10"", ""B-FLOOR""], [""برج"", ""O""], [""الاهرام"", ""B-BUILDING""], [""شبرا"", ""B-CITY""], [""الخيمه"", ""I-CITY""], [""شقة"", ""O""], [""رقم"", ""O""], [""14"", ""B-APARTMENT""], [""تحت"", ""O""], [""بنك"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""شارع"", ""O""], [""ليبيا"", ""B-STREET""]]"
في اسكندريه مبنى النخيل شارع البحرين,"{""CITY"": ""اسكندريه"", ""STREET"": ""البحرين"", ""BUILDING"": ""النخيل""}","[[""في"", ""O""], [""اسكندريه"", ""B-CITY""], [""مبنى"", ""O""], [""النخيل"", ""B-BUILDING""], [""شارع"", ""O""], [""البحرين"", ""B-STREET""]]"
شارع ليبيا في كفر الدوار عقار الشروق,"{""CITY"": ""كفر الدوار"", ""STREET"": ""ليبيا"", ""BUILDING"": ""الشروق""}","[[""شارع"", ""O""], [""ليبيا"", ""B-STREET""], [""في"", ""O""], [""كفر"", ""B-CITY""], [""الدوار"", ""I-CITY""], [""عقار"", ""O""], [""الشروق"", ""B-BUILDING""]]"
عماره ١٢ الاقصر شارع الكويت,"{""CITY"": ""الاقصر"", ""STREET"": ""الكويت"", ""BUILDING"": ""١٢""}","[[""عماره"", ""O""], [""١٢"", ""B-BUILDING""], [""الاقصر"", ""B-CITY""], [""شارع"", ""O""], [""الكويت"", ""B-STREET""]]"
فيلا الفردوس الجيزه شارع السوق,"{""CITY"": ""الجيزه"", ""STREET"": ""السوق"", ""BUILDING"": ""الفردوس""}","[[""فيلا"", ""O""], [""الفردوس"", ""B-BUILDING""], [""الجيزه"", ""B-CITY""], [""شارع"", ""O""], [""السوق"", ""B-STREET""]]"
محافظه ميت غمر فيلا الوطني في الشرابيه فوق صيدليه السلام الطابق 19 شارع النور,"{""CITY"": ""ميت غمر"", ""AREA"": ""الشرابيه"", ""STREET"": ""النور"", ""LANDMARK"": ""صيدليه السلام"", ""BUILDING"": ""الوطني"", ""FLOOR"": ""19""}","[[""محافظه"", ""O""], [""ميت"", ""B-CITY""], [""غمر"", ""I-CITY""], [""فيلا"", ""O""], [""الوطني"", ""B-BUILDING""], [""في"", ""O""], [""الشرابيه"", ""B-AREA""], [""فوق"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""السلام"", ""I-LANDMARK""], [""الطابق"", ""O""], [""19"", ""B-FLOOR""], [""شارع"", ""O""], [""النور"", ""B-STREET""]]"
تحت الموقف عماره ١٢ شقه رقم ١٣ دمياط طابق التاني,"{""CITY"": ""دمياط"", ""LANDMARK"": ""الموقف"", ""BUILDING"": ""١٢"", ""FLOOR"": ""التاني"", ""APARTMENT"": ""١٣""}","[[""تحت"", ""O""], [""الموقف"", ""B-LANDMARK""], [""عماره"", ""O""], [""١٢"", ""B-BUILDING""], [""شقه"", ""O""], [""رقم"", ""O""], [""١٣"", ""B-APARTMENT""], [""دمياط"", ""B-CITY""], [""طابق"", ""O""], [""التاني"", ""B-FLOOR""]]"
بجوار بنك مصر عقار 12 بدر شقه رقم ١ محافظه الاسماعيليه شارع محمود خاطر,"{""CITY"": ""الاسماعيليه"", ""AREA"": ""بدر"", ""STREET"": ""محمود خاطر"", ""LANDMARK"": ""بنك مصر"", ""BUILDING"": ""12"", ""APARTMENT"": ""١""}","[[""بجوار"", ""O""], [""بنك"", ""B-LANDMARK""], [""مصر"", ""I-LANDMARK""], [""عقار"", ""O""], [""12"", ""B-BUILDING""], [""بدر"", ""B-AREA""], [""شقه"", ""O""], [""رقم"", ""O""], [""١"", ""B-APARTMENT""], [""محافظه"", ""O""], [""الاسماعيليه"", ""B-CITY""], [""شارع"", ""O""], [""محمود"", ""B-STREET""], [""خاطر"", ""I-STREET""]]"
شبين الكوم في الشروق,"{""CITY"": ""شبين الكوم"", ""AREA"": ""الشروق""}","[[""شبين"", ""B-CITY""], [""الكوم"", ""I-CITY""], [""في"", ""O""], [""الشروق"", ""B-AREA""]]"
شارع احمد كمال عماره الاتحاد شقه 8 قريب من سوبر ماركت مكه محافظه شبين الكوم الدور الثاني,"{""CITY"": ""شبين الكوم"", ""STREET"": ""احمد كمال"", ""LANDMARK"": ""سوبر ماركت مكه"", ""BUILDING"": ""الاتحاد"", ""FLOOR"": ""الثاني"", ""APARTMENT"": ""8""}","[[""شارع"", ""O""], [""احمد"", ""B-STREET""], [""كمال"", ""I-STREET""], [""عماره"", ""O""], [""الاتحاد"", ""B-BUILDING""], [""شقه"", ""O""], [""8"", ""B-APARTMENT""], [""قريب"", ""O""], [""من"", ""O""], [""سوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""مكه"", ""I-LANDMARK""], [""محافظه"", ""O""], [""شبين"", ""B-CITY""], [""الكوم"", ""I-CITY""], [""الدور"", ""O""], [""الثاني"", ""B-FLOOR""]]"
قدام صيدليه الامل في سيدي بشر شبين الكوم شقة ٩,"{""CITY"": ""شبين الكوم"", ""AREA"": ""سيدي بشر"", ""LANDMARK"": ""صيدليه الامل"", ""APARTMENT"": ""٩""}","[[""قدام"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""في"", ""O""], [""سيدي"", ""B-AREA""], [""بشر"", ""I-AREA""], [""شبين"", ""B-CITY""], [""الكوم"", ""I-CITY""], [""شقة"", ""O""], [""٩"", ""B-APARTMENT""]]"
بجانب كافيه مكه طابق الخامس ش الكويت شقة ١٤ في الزقازيق,"{""CITY"": ""الزقازيق"", ""STREET"": ""الكويت"", ""LANDMARK"": ""كافيه مكه"", ""FLOOR"": ""الخامس"", ""APARTMENT"": ""١٤""}","[[""بجانب"", ""O""], [""كافيه"", ""B-LANDMARK""], [""مكه"", ""I-LANDMARK""], [""طابق"", ""O""], [""الخامس"", ""B-FLOOR""], [""ش"", ""O""], [""الكويت"", ""B-STREET""], [""شقة"", ""O""], [""١٤"", ""B-APARTMENT""], [""في"", ""O""], [""الزقازيق"", ""B-CITY""]]"
منطقه الشروق شارع عبد العزيز الطابق ٧ بيت ٣ الاسكندريه,"{""CITY"": ""الاسكندريه"", ""AREA"": ""الشروق"", ""STREET"": ""عبد العزيز"", ""BUILDING"": ""٣"", ""FLOOR"": ""٧""}","[[""منطقه"", ""O""], [""الشروق"", ""B-AREA""], [""شارع"", ""O""], [""عبد"", ""B-STREET""], [""العزيز"", ""I-STREET""], [""الطابق"", ""O""], [""٧"", ""B-FLOOR""], [""بيت"", ""O""], [""٣"", ""B-BUILDING""], [""الاسكندريه"", ""B-CITY""]]"
عقار ١٠ شارع بغداد الخانكه,"{""CITY"": ""الخانكه"", ""STREET"": ""بغداد"", ""BUILDING"": ""١٠""}","[[""عقار"", ""O""], [""١٠"", ""B-BUILDING""], [""شارع"", ""O""], [""بغداد"", ""B-STREET""], [""الخانكه"", ""B-CITY""]]"
1 شارع أحمد تيسير متفرع من شارع الميرغني الدور الأول شقة رقم 1 اعلى صيدلية العزبي مصر الجديدة القاهره,"{""CITY"": ""القاهره"", ""AREA"": ""مصر الجديدة"", ""NUM_STREET"": ""1"", ""MAIN_STREET"": ""الميرغني"", ""STREET"": ""أحمد تيسير"", ""LANDMARK"": ""صيدلية العزبي"", ""FLOOR"": ""الأول"", ""APARTMENT"": ""1""}","[[""1"", ""B-NUM_STREET""], [""شارع"", ""O""], [""أحمد"", ""B-STREET""], [""تيسير"", ""I-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الميرغني"", ""B-MAIN_STREET""], [""الدور"", ""O""], [""الأول"", ""B-FLOOR""], [""شقة"", ""O""], [""رقم"", ""O""], [""1"", ""B-APARTMENT""], [""اعلى"", ""O""], [""صيدلية"", ""B-LANDMARK""], [""العزبي"", ""I-LANDMARK""], [""مصر"", ""B-AREA""], [""الجديدة"", ""I-AREA""], [""القاهره"", ""B-CITY""]]"
64 شارع التحرير الدور الثالث شقة 14 الدقى الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""الدقى"", ""NUM_STREET"": ""64"", ""STREET"": ""التحرير"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""14""}","[[""64"", ""B-NUM_STREET""], [""شارع"", ""O""], [""التحرير"", ""B-STREET""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""14"", ""B-APARTMENT""], [""الدقى"", ""B-AREA""], [""الجيزة"", ""B-CITY""]]"
3 عمارات الفردوس طريق النصر بجوار نادى السكة الحديد مدينة نصر القاهره,"{""CITY"": ""القاهره"", ""AREA"": ""مدينة نصر"", ""NUM_STREET"": ""3"", ""STREET"": ""النصر"", ""LANDMARK"": ""نادى السكة الحديد"", ""BUILDING"": ""عمارات الفردوس""}","[[""3"", ""B-NUM_STREET""], [""عمارات"", ""B-BUILDING""], [""الفردوس"", ""I-BUILDING""], [""طريق"", ""O""], [""النصر"", ""B-STREET""], [""بجوار"", ""O""], [""نادى"", ""B-LANDMARK""], [""السكة"", ""I-LANDMARK""], [""الحديد"", ""I-LANDMARK""], [""مدينة"", ""B-AREA""], [""نصر"", ""I-AREA""], [""القاهره"", ""B-CITY""]]"
